Name,Url,PaperCount,AuthorContribution
Mark D Dunlop,https://dl.acm.org/profile/81100111439,3,1.1666666666666665
David Ledo,https://dl.acm.org/profile/81490690490,3,0.75
Nikola Banovic,https://dl.acm.org/profile/81490690455,3,0.7
Sandip Chakraborty,https://dl.acm.org/profile/81490677640,3,0.7
Amy Kathleen Karlson,https://dl.acm.org/profile/81100168208,3,0.6242424242424243
Dragan Ahmetovic,https://dl.acm.org/profile/81488672853,3,0.75
Matthias Wagner,https://dl.acm.org/profile/81100167319,3,0.6111111111111112
Barrett Ens,https://dl.acm.org/profile/81488672423,3,0.75
Da-Yuan Huang,https://dl.acm.org/profile/81551198756,3,0.46590909090909094
Luís Carriço,https://dl.acm.org/profile/81100160018,3,1.2
Jacob O. Wobbrock,https://dl.acm.org/profile/81100086173,3,0.9166666666666666
M. Fjeld,https://dl.acm.org/profile/81100571519,3,0.7
Rainer Malaka,https://dl.acm.org/profile/81100432058,3,0.6166666666666667
Jonathan Liebers,https://dl.acm.org/profile/99659528974,3,0.5095238095238095
Radu-Daniel Vatavu,https://dl.acm.org/profile/81343507895,3,1.0
Shengdong Zhao,https://dl.acm.org/profile/81416592901,3,0.8333333333333333
Arto Puikkonen,https://dl.acm.org/profile/81414598134,3,0.95
Dennis Stanke,https://dl.acm.org/profile/99659068342,3,0.8333333333333333
Seongkook Heo,https://dl.acm.org/profile/81484643096,3,1.3333333333333333
Minna Kulju,https://dl.acm.org/profile/81351606426,3,0.6166666666666667
Simon Voelker,https://dl.acm.org/profile/81479651640,3,0.65
Steeven Villa,https://dl.acm.org/profile/99659702395,3,0.6166666666666667
Jeff Pierce,https://dl.acm.org/profile/81100303065,3,1.0
Max Mühlhäuser,https://dl.acm.org/profile/81100305085,3,0.6428571428571428
Tim Paek,https://dl.acm.org/profile/81100372905,3,1.0833333333333333
Xiaojun Bi,https://dl.acm.org/profile/81309485662,3,0.5111111111111111
Kai Kunze,https://dl.acm.org/profile/81372592910,3,0.5333333333333333
Graham Wilson,https://dl.acm.org/profile/81467653138,3,0.7833333333333333
Joanna Lumsden,https://dl.acm.org/profile/81100261006,3,0.7261904761904762
Jarmo Kauko,https://dl.acm.org/profile/81416608653,3,1.0833333333333333
Florian Müller,https://dl.acm.org/profile/81464642529,3,0.5595238095238095
Chun Yu,https://dl.acm.org/profile/81467660483,3,0.6666666666666666
Hyowon Lee,https://dl.acm.org/profile/81100391083,3,0.5833333333333333
Jason I An Hong,https://dl.acm.org/profile/81408598366,3,0.7333333333333334
Pradthana Jarusriboonchai,https://dl.acm.org/profile/87059351157,3,0.8333333333333333
Elba del Valderrama Bahamóndez,https://dl.acm.org/profile/81460655665,3,0.6666666666666666
Minchieh Hsiu,https://dl.acm.org/profile/99658732061,3,0.43452380952380953
Marion Koelle,https://dl.acm.org/profile/86158741357,3,0.75
Daniel Spelmezan,https://dl.acm.org/profile/81350575685,3,1.5833333333333333
Andreas Bulling,https://dl.acm.org/profile/81372593219,3,0.7833333333333333
Yuta Sugiura,https://dl.acm.org/profile/81442608773,3,0.7333333333333334
Jie Liu,https://dl.acm.org/profile/81350596290,3,0.8333333333333333
Neng-Hao Yu,https://dl.acm.org/profile/81470642713,3,0.45
Xingdong Yang,https://dl.acm.org/profile/81311481651,3,0.75
Kristina Knaving,https://dl.acm.org/profile/81440620710,3,0.625
Tsuneo Kato,https://dl.acm.org/profile/81442609226,3,1.1666666666666665
Francesco Chiossi,https://dl.acm.org/profile/99660234229,3,0.575
Cosmin Munteanu,https://dl.acm.org/profile/81100559377,3,0.8095238095238095
Bradley Rey,https://dl.acm.org/profile/99659536233,3,0.4242424242424242
Sandra Bardot,https://dl.acm.org/profile/99658657437,3,0.5909090909090908
Dirk Wenig,https://dl.acm.org/profile/81442616075,3,0.6166666666666667
Steve David Benford,https://dl.acm.org/profile/81100619971,3,0.625
Gian Luca Savino,https://dl.acm.org/profile/99659474165,3,0.7333333333333334
Ed Cutrell,https://dl.acm.org/profile/81100506242,3,0.8333333333333333
Darren Edge,https://dl.acm.org/profile/81323489686,3,0.6166666666666667
Jan O Blom,https://dl.acm.org/profile/81100402263,3,0.8666666666666667
Christian Holz,https://dl.acm.org/profile/81443597100,3,0.7
Martin Halvey,https://dl.acm.org/profile/81310486119,3,0.65
Saeed Abdullah,https://dl.acm.org/profile/83458612457,3,0.5178571428571428
Maximiliane Windl,https://dl.acm.org/profile/99659463901,3,1.0333333333333332
Nikolaos Avouris,https://dl.acm.org/profile/81100274753,3,0.9761904761904762
Sven G Kratz,https://dl.acm.org/profile/81416602445,3,1.3333333333333333
Patrick Olivier,https://dl.acm.org/profile/81100295667,3,0.47619047619047616
Kyle Montague,https://dl.acm.org/profile/81472655898,3,0.5928571428571429
Kris Luyten,https://dl.acm.org/profile/81309493252,3,0.8666666666666667
Florian Heller,https://dl.acm.org/profile/81416598157,3,0.9166666666666666
Arjan Geven,https://dl.acm.org/profile/81318488802,3,0.7333333333333334
Alina Hang,https://dl.acm.org/profile/81371595104,3,0.7833333333333333
Tim Duente,https://dl.acm.org/profile/99659020577,3,0.8333333333333333
Alexandru Dancu,https://dl.acm.org/profile/81549502256,2,0.45
Saurabh Panjwani,https://dl.acm.org/profile/81326491834,2,0.5833333333333333
Vasilis Vlachokyriakos,https://dl.acm.org/profile/81502803064,2,0.30952380952380953
Daisuke Sato,https://dl.acm.org/profile/81327491464,2,0.2857142857142857
Corina Sas,https://dl.acm.org/profile/81100639942,2,0.26785714285714285
Adil Rahman,https://dl.acm.org/profile/99660629409,2,0.8333333333333333
Alessandro Mulloni,https://dl.acm.org/profile/81327490510,2,0.6666666666666666
Florian Echtler,https://dl.acm.org/profile/81385598605,2,0.45
Henriette S M Cramer,https://dl.acm.org/profile/81328487965,2,0.6666666666666666
Scott Hudson,https://dl.acm.org/profile/81328488846,2,0.3666666666666667
Faisal Taher,https://dl.acm.org/profile/81385603967,2,0.6666666666666666
A. Komninos,https://dl.acm.org/profile/81385599634,2,0.5
Viviane Herdel,https://dl.acm.org/profile/99659701435,2,0.75
Charlotte Magnusson,https://dl.acm.org/profile/81328489667,2,0.3611111111111111
Yosra Rekik,https://dl.acm.org/profile/89758883757,2,0.5833333333333333
Stephen Uzor,https://dl.acm.org/profile/81479664548,2,0.5833333333333333
Ahmed Sabbir Arif,https://dl.acm.org/profile/81460652875,2,0.6666666666666666
Jason Wiese,https://dl.acm.org/profile/81467645911,2,0.5333333333333333
Harold W Thimbleby,https://dl.acm.org/profile/81100200743,2,0.5833333333333333
Emmanuel Dubois,https://dl.acm.org/profile/81100177698,2,0.5833333333333333
Marja Salmimaa,https://dl.acm.org/profile/81488650451,2,0.5
Kellie Morrissey,https://dl.acm.org/profile/83059070757,2,0.26785714285714285
Jaakko Hakulinen,https://dl.acm.org/profile/81100361132,2,0.29166666666666663
Nicholas Micallef,https://dl.acm.org/profile/82658868557,2,0.5333333333333333
Mehwish Nasim,https://dl.acm.org/profile/81474640600,2,0.5
Darren Gergle,https://dl.acm.org/profile/81100246470,2,0.5833333333333333
Val A Mitchell,https://dl.acm.org/profile/81100359725,2,0.5
Chengyao Wang,https://dl.acm.org/profile/83358733157,2,0.30952380952380953
Nicola Lee Dell,https://dl.acm.org/profile/81486656510,2,0.45
Patrick Losquin,https://dl.acm.org/profile/81100166390,2,0.7
Petteri Nurmi,https://dl.acm.org/profile/81330496266,2,0.2857142857142857
Kenji Suzuki,https://dl.acm.org/profile/99658761810,2,0.5
Jens Grubert,https://dl.acm.org/profile/81548020564,2,0.75
Ahmad Rahmati,https://dl.acm.org/profile/81330497436,2,0.5333333333333333
Alia Saad,https://dl.acm.org/profile/99659332345,2,0.3666666666666667
M. A. Neerincx,https://dl.acm.org/profile/81100075980,2,0.5833333333333333
Vipula Dissanayake,https://dl.acm.org/profile/99659355169,2,0.3666666666666667
Katherine Fennedy,https://dl.acm.org/profile/99659333713,2,0.45
Shadan Sadeghian Borojeni,https://dl.acm.org/profile/99658953146,2,0.41666666666666663
Yannick Weiß,https://dl.acm.org/profile/99659332650,2,0.41666666666666663
Mike J Sinclair,https://dl.acm.org/profile/81318498872,2,0.4242424242424242
Andreas Möller,https://dl.acm.org/profile/81100071430,2,0.5
Louise Barkhuus,https://dl.acm.org/profile/81331488921,2,0.4
Sven Gehring,https://dl.acm.org/profile/81460646807,2,0.5
Elina Kuosmanen,https://dl.acm.org/profile/99659320217,2,0.26785714285714285
James Scott,https://dl.acm.org/profile/81407592275,2,0.34090909090909094
Haining Liang,https://dl.acm.org/profile/81502722554,2,0.5
Rong-Hao Liang,https://dl.acm.org/profile/81321494894,2,0.5833333333333333
Mark Webster Newman,https://dl.acm.org/profile/81406594629,2,0.5333333333333333
Sungjae Hwang,https://dl.acm.org/profile/81413601465,2,0.5833333333333333
Keith Vertanen,https://dl.acm.org/profile/81413602297,2,1.0
Younghee Jung,https://dl.acm.org/profile/81318489912,2,0.5833333333333333
Satu Jumisko-Pyykkö,https://dl.acm.org/profile/81318489699,2,0.8333333333333333
Leif Oppermann,https://dl.acm.org/profile/81413603697,2,0.4583333333333333
Carolyn R Watters,https://dl.acm.org/profile/81100083433,2,0.5833333333333333
Hiroki Usuba,https://dl.acm.org/profile/99659309372,2,0.47619047619047616
Linda Di Geronimo,https://dl.acm.org/profile/81502793216,2,0.4
Haimo Zhang,https://dl.acm.org/profile/81502794017,2,0.45
Serena Hillman,https://dl.acm.org/profile/81502799268,2,0.5
Roope Raisamo,https://dl.acm.org/profile/81100035638,2,0.3666666666666667
Ann Morrison,https://dl.acm.org/profile/81331499954,2,0.5
Manjiri Joshi,https://dl.acm.org/profile/81384612379,2,0.325
Moira C Norrie,https://dl.acm.org/profile/81100036334,2,0.4
Heiko Holz,https://dl.acm.org/profile/99659301695,2,0.45
Vivian Hsueh Hua Chen,https://dl.acm.org/profile/81331490522,2,0.6666666666666666
Nikolaos K Tselios,https://dl.acm.org/profile/81100045246,2,0.5833333333333333
Chenglei Yang,https://dl.acm.org/profile/81100356283,2,0.325
Ahmed Kharrufa,https://dl.acm.org/profile/81479662079,2,0.45
Vuokko Tuulikki Lantz,https://dl.acm.org/profile/81100425691,2,0.8333333333333333
Ian Emery Smith,https://dl.acm.org/profile/81452608837,2,0.5333333333333333
Martin Hachet,https://dl.acm.org/profile/81100326317,2,0.6666666666666666
